pitch_angle,yaw_angle
65.25,3.5
63.75,3.5
63,3
63.25,2.25
64.25,1
65.75,0.5
66.75,0.25
66.75,0.75
66.25,0.5
65.5,1.5
64.5,1.25
63.5,2.5
63.5,2.5
64,2.75
65.25,2
66.75,2.25
67.5,2.75
67.25,2.5
67,2.5
66.25,3.25
65.75,3.5
65.5,3.25
65.75,3
66,3.75
65.75,3.75
65.75,3.75
65.5,4.5
65.5,4.5
65.5,4.5
65.5,4.25
65.5,4.75
65.5,5.25
65.25,5.75
64.75,6.25
64.5,6.25
64.25,6.25
64.25,6.75
64.25,6.75
64.25,6.5
64.25,6.25
64.25,6.25
64.25,6.25
64.25,6.5
64.25,5.5
64.25,5.25
64.25,5.5
64.25,5.5
64.25,5.5
64.25,5.25
64.25,5.25
64.25,5.25
64.25,5.25
64.25,5.5
64.25,5.75
64.25,6.5
64.25,6.25
64.25,6.5
64.25,6.75
64.25,7.25
64.25,7.25
64.25,7.5
64.25,7.25
64.25,7.25
64.25,7.25
64.25,7.25
64.25,7.25
64.25,7.25
64.25,7.25
64.25,7.25
64.25,7.25
64.25,7
64.25,7
64.25,7
64.25,7
64.25,7
64.25,7.25
64.25,7
64.25,7.25
64.25,7
64.25,7
64.25,7
64.25,7
64.25,7.25
64.25,7.25
64.25,7.25
64.25,7.25
64.25,7.5
64.25,7.5
64.25,7.5
64.25,7.5
64.25,7.5
64.25,7.5
64.25,7.5
64.25,7.5
64.25,7.5
64.25,7.5
64.25,7.5
64.25,7.5
64.25,7.5
64.25,7.5
64.25,7.5
64.25,7.5
64.25,7.5
64.25,7.5
64.25,7.75
64.25,7.75
64.25,7.75
64.25,7.75
64.25,7.75
64.25,7.75
64.25,7.75
64.25,7.75
64.25,7.75
64.25,7.75
64.25,7.75
64.25,7.75
0,0
0,0
0,0
0,0
0,0
0.25,-0.25
0.75,-1
3,-2.5
7,-4.5
13,-6.5
21,-8.75
30.5,-10.75
39.75,-12
48,-13
54,-13.5
57.5,-13.5
58.5,-13
57.75,-12.25
56,-11.25
53.5,-10
51.25,-9.25
50.5,-9
51.25,-9
53,-9.75
56,-10.5
59.25,-11.75
62.25,-12.5
63.25,-13
63,-13
62,-12.75
60.5,-12
58.25,-11.25
56.75,-10.75
56.5,-10.75
57,-11
58.5,-11.75
60,-12
61,-12.5
61,-12.25
60.5,-11.75
59.75,-10.5
58.25,-8.75
57.5,-7.25
57.5,-6.25
58.25,-5.5
59.5,-5.25
60.5,-4.75
60.5,-4
60,-3.5
59.5,-2.75
59.25,-2.5
59.5,-2.75
60.25,-3.25
61.25,-4.25
61.75,-4.75
61.75,-5.25
61.25,-5.25
60.5,-5
60.25,-5
60.5,-5.5
60.75,-6.25
61.5,-7.25
61.5,-7.75
61.5,-8
60.75,-7.25
60,-6.25
59.5,-5.5
59.75,-4.75
60.5,-4.5
61.75,-4.5
62.25,-4.25
62,-4
61.75,-3.25
61,-2.5
61,-2.25
61.25,-2
61.5,-2.5
62.25,-3.25
62.25,-3.75
62.25,-4
61.75,-3.75
61.25,-3.5
61.25,-3.5
61.25,-3.5
61.25,-3.75
61.5,-4.25
61.25,-4.5
61.25,-4.5
61.25,-4.5
61.25,-4.5
61.25,-4.25
61.25,-3.75
61.25,-3.25
61.25,-2.75
61.25,-2
61.25,-1.5
61.25,-1
61.25,-0.5
61.25,-0.25
61.25,0
61.25,0
61.25,0
61.25,0
61.25,0
61.25,-0.25
61.25,-0.75
61.25,-1.25
61.25,-1.75
61.25,-2.25
61.25,-2.5
61.25,-2.75
61.25,-3
61.25,-2.75
61.25,-2.5
61.25,-1.75
61.25,-1.25
61.25,-0.5
61.25,0.25
61.25,1
61.25,1.75
61.25,2.25
61.25,2.75
61.25,3.25
61.25,3.5
61.25,3.5
61.25,3.75
61.25,3.5
61.25,3.25
61.25,2.5
61.25,1.75
61.25,1
61.25,0.25
61.25,-0.5
61.25,-1.25
61.25,-2
61.25,-2.5
61.25,-3.25
61.25,-3.5
61.25,-4
61.25,-4.25
61.25,-4.5
61.25,-4.5
61.25,-4.5
61.25,-4.5
61.25,-4.5
61.25,-4.5
61.25,-4.5
61.25,-4.5
61.25,-4.5
61.25,-4.75
61.25,-4.75
61.25,-5
61.25,-5.25
61.25,-5.5
61.25,-5.75
61.25,-5.75
61.25,-6
61.25,-6.25
61.25,-6.5
61.25,-6.75
61.25,-7
61.25,-7.25
61.25,-7.5
61.25,-7.75
61.25,-7.75
61.25,-8
61.25,-8
61.25,-8
61.25,-8
61.25,-8
61.25,-8.25
61.25,-8.25
61.25,-8.25
61.25,-8.5
61.25,-8.5
61.25,-8.75
61.25,-9
61.25,-9.25
61.25,-9.25
61.25,-9.5
61.25,-9.5
61.25,-9.25
61.25,-9.25
61.25,-9
61.25,-8.75
61.25,-8.5
61.25,-8.5
61.25,-8.5
61.25,-8.25
61.25,-8.25
61,-7.75
60.75,-7.25
60,-6.75
58.5,-6.25
56.25,-5.5
53.25,-4.75
49.25,-4
44,-3.25
38,-2.25
30.75,-1.25
22.5,0
13.5,1.75
3.75,4.25
-0.5,5.75
-0.5,6
-0.25,5.5
-0.25,5.75
-0.25,5.75
-0.25,5.75
-0.25,5.75
-0.25,5.75
-0.25,5.75
-0.25,5.75
-0.25,5.75
-0.25,5.75
-0.25,5.75
-0.25,5.75
-0.25,5.75
-0.25,5.75
-0.25,5.75
-0.25,5.75
-0.25,5.75
-0.25,5.75
