Pitch_Angle,Yaw_Angle
59.25,-19.25
59.25,-19.5
59.25,-19.5
59.25,-19.5
59.25,-19.5
59.25,-19.5
59.25,-19.75
59.25,-19.75
59.25,-19.75
59.25,-19.75
59.25,-19.75
59.25,-19.75
59.25,-19.75
59.25,-19.75
59.25,-19.75
59.25,-19.75
59.25,-19.75
59.25,-19.75
59.25,-19.75
59.25,-19.75
59.25,-19.75
59.25,-19.75
59.25,-19.75
59.25,-19.75
59.25,-19.75
59.25,-19.75
59.25,-19.75
59.25,-19.5
59.25,-19.5
59.25,-19.5
59.25,-19.5
59.25,-19.5
59.25,-19.5
59.25,-19.5
59.25,-19.5
59.25,-19.5
59.25,-19.5
59.25,-19.5
59.25,-19.25
59.25,-19.25
59.25,-19.25
59.25,-19.25
59.25,-19.25
59.25,-19.25
59.25,-19.25
59.25,-19.25
59.25,-19.25
59.25,-19.25
59.25,-19.25
59.25,-19.25
59.25,-19
59.25,-19
59.25,-19
59.25,-19
59.25,-19
59.25,-19
59.25,-19
59.25,-19
59.25,-19
59.25,-19
59.25,-19
59.25,-19
59.25,-19
59.25,-19
59.25,-19
59.25,-19
59.25,-19
59.25,-19
59.25,-19
59.25,-19
59.25,-19
59.25,-19
59.25,-19
59.25,-19
59.25,-18.75
59.25,-18.75
59.25,-18.75
59.25,-18.75
59.25,-18.75
59.25,-18.5
59.25,-18.5
59.25,-18.5
59.25,-18.25
59.25,-18.25
59.25,-18
59.25,-18
59.25,-18
59.25,-17.75
59.25,-17.75
59.25,-17.75
59.25,-17.5
59.25,-17.5
59.25,-17.5
59.25,-17.5
59.25,-17.25
59.25,-17.25
59.25,-17.25
59.25,-17.25
59.5,-17.25
59.5,-17.25
59.5,-17.25
59.5,-17.25
59.5,-17.25
59.5,-17.25
59.5,-17.25
59.5,-17.25
59.75,-17.25
59.75,-17.25
59.75,-17.25
59.75,-17.25
59.75,-17.25
59.75,-17.5
59.75,-17.5
59.75,-17.5
59.75,-17.5
59.75,-17.5
59.75,-17.75
60,-17.75
60,-17.75
60,-17.75
60,-17.75
60,-17.75
60,-17.75
60,-17.75
60,-17.75
60,-17.75
60,-17.75
60,-17.75
60,-17.75
60,-17.5
60,-17.5
60,-17.5
60,-17.25
60,-17.25
60,-17.25
60,-17.25
60,-17
60,-17
60,-17
60,-16.75
60,-16.75
60,-16.75
60,-16.5
60,-16.5
60,-16.5
60,-16.25
60,-16.25
60,-16.25
60,-16.25
60,-16.25
60,-16.25
60,-16.25
60,-16.25
60,-16.25
60.25,-16.25
60.25,-16.25
60.25,-16.25
60.25,-16.25
60.25,-16.25
60.5,-16.25
60.5,-16.25
60.5,-16.5
60.5,-16.5
60.75,-16.5
60.75,-16.5
60.75,-16.5
60.75,-16.75
60.75,-16.75
60.75,-16.75
60.75,-16.75
60.75,-16.75
60.75,-16.75
60.75,-16.75
60.75,-16.75
60.75,-16.75
60.75,-16.75
60.75,-16.75
60.75,-16.75
60.75,-16.75
60.75,-16.75
60.75,-17
60.75,-17
60.75,-17
61,-17
61,-17
61,-17.25
61,-17.25
61,-17.25
61,-17.25
61,-17.5
61,-17.5
61,-17.5
61,-17.5
61,-17.75
61,-17.75
61,-17.75
61,-17.75
61,-17.75
61,-18
61,-18
61,-18
61,-18
61,-18.25
61,-18.25
61,-18.25
61,-18.5
61,-18.5
61,-18.5
61,-18.75
61,-18.75
61,-18.75
61,-19
61,-19
61,-19
61,-19
61,-19.25
61,-19.25
61,-19.25
61,-19.5
61,-19.5
61,-19.5
61,-19.75
61,-19.75
61,-19.75
61,-20
61,-20
61,-20
61,-20.25
61,-20.25
61,-20.25
61,-20.5
61,-20.5
61,-20.5
61,-20.5
61,-20.75
61,-20.75
61,-20.75
61,-20.75
61,-21
61,-21
61,-21
61,-21
61,-21
61,-21
61,-21.25
61,-21.25
61,-21.25
61,-21.25
61,-21.25
61,-21.5
61,-21.5
61,-21.5
61,-21.5
61,-21.75
61,-21.75
61,-21.75
61,-22
61,-22
61,-22
61,-22.25
61,-22.25
61,-22.25
61,-22.5
61,-22.5
61,-22.5
61,-22.75
61,-22.75
61,-22.75
61,-23
61,-23
61,-23
61,-23
61,-23.25
61,-23.25
61,-23.25
61,-23.25
61,-23.5
61,-23.5
61,-23.5
61,-23.5
61,-23.75
61,-23.75
61,-23.75
61,-23.75
61,-24
61,-24
61,-24
61,-24
61,-24
61,-24.25
61,-24.25
61,-24.25
61,-24.25
61,-24.25
61,-24.25
61,-24.25
61,-24.25
61,-24.25
61,-24.25
61,-24.25
61,-24.25
61,-24.25
61,-24.25
61,-24.25
61,-24.25
61,-24
61,-24
61,-24
61,-24
61,-24
61,-23.75
61,-23.75
61,-23.75
61,-23.75
61,-23.75
61,-23.5
61,-23.5
61,-23.5
61,-23.5
61,-23.25
61,-23.25
61,-23.25
61,-23.25
61,-23
61,-23
61,-23
61,-23
61,-23
61,-22.75
61,-22.75
61,-22.75
61,-22.75
61,-22.75
61,-22.75
61,-22.75
61,-22.5
61,-22.5
61,-22.5
61,-22.5
61,-22.5
61,-22.5
61,-22.5
61,-22.5
61,-22.5
61,-22.5
61,-22.5
61,-22.5
61,-22.75
61,-22.75
61,-22.75
61,-22.75
61,-22.75
61,-22.75
61,-23
61,-23
61,-23
61,-23
61,-23.25
61,-23.25
61,-23.25
61,-23.5
61,-23.5
61,-23.5
61,-23.5
61,-23.75
61,-23.75
61,-23.75
61,-24
61,-24
61,-24
61,-24.25
61,-24.25
61,-24.25
61,-24.25
61,-24.5
61,-24.5
61,-24.5
61,-24.5
61,-24.75
61,-24.75
61,-24.75
61,-24.75
61,-25
61,-25
61,-25
61,-25
61,-25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25
61,-25
61,-25
61,-25
61,-25
61,-24.75
61,-24.75
61,-24.75
61,-24.75
61,-24.5
61,-24.5
61,-24.5
61,-24.5
61,-24.25
61,-24.25
61,-24.25
61,-24
61,-24
61,-24
61,-23.75
61,-23.75
61,-23.75
61,-23.5
61,-23.5
61,-23.5
61,-23.25
61,-23.25
61,-23.25
61,-23.25
61,-23
61,-23
61,-23
61,-23
61,-23
61,-23
61,-22.75
61,-22.75
61,-22.75
61,-22.75
61,-22.75
61,-22.75
61,-22.75
61,-22.75
61,-22.75
61,-22.75
61,-22.75
61,-22.75
61,-22.75
61,-22.75
61,-22.75
61,-22.75
61,-22.75
61,-22.75
61,-22.75
61,-22.75
61,-22.75
61,-22.75
61,-22.75
61,-22.75
61,-22.75
61,-22.75
61,-22.75
61,-23
61,-23
61,-23
61,-23
61,-23
61,-23
61,-23
61,-23
61,-23
61,-23
61,-23
61,-23
61,-23
61,-23
61,-23
61,-23
61,-23
61,-23.25
61,-23.25
61,-23.25
61,-23.25
61,-23.25
61,-23.25
61,-23.25
61,-23.25
61,-23.5
61,-23.5
61,-23.5
61,-23.5
61,-23.5
61,-23.75
61,-23.75
61,-23.75
61,-23.75
61,-23.75
61,-24
61,-24
61,-24
61,-24
61,-24
61,-24.25
61,-24.25
61,-24.25
61,-24.25
61,-24.5
61,-24.5
61,-24.5
61,-24.5
61,-24.5
61,-24.75
61,-24.75
61,-24.75
61,-24.75
61,-24.75
61,-25
61,-25
61,-25
61,-25
61,-25
61,-25
61,-25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.25
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.5
61,-25.75
61,-25.75
61,-25.75
61,-25.75
61,-25.75
61,-25.75
61,-25.75
61,-25.75
61,-25.75
61,-26
61,-26
61,-26
61,-26
61,-26
61,-26
61,-26
61,-26
