V,I_pitch,I_yaw
14.23,4.76,5.84
13.44,4.59,6.26
12.91,4.41,6.69
12.68,4.61,6.79
13.01,4.37,7.2
12.28,4.55,7.26
11.21,4.04,7.72
12.61,4.12,8.06
13.29,4,7.99
13.64,3.94,8.32
13.52,4.14,8.74
13.09,3.85,8.65
13.77,3.75,8.58
13.64,3.94,8.21
12.33,4.29,8.04
11.77,4.23,8.14
13.01,4.31,8
12.1,4.22,7.45
12.33,4.33,7.08
11.11,4.66,7.3
12.86,4.28,7.41
12.43,4.32,7.04
13.95,4.73,6.71
13.92,4.52,6.64
12.73,4.54,6.53
12.71,4.53,6.17
12.96,4.5,5.84
13.29,4.82,5.96
12.61,4.43,5.61
12.35,4.81,5.35
12,4.9,5.1
12.81,5.23,5.04
11.32,4.76,4.99
13.01,4.95,4.87
13.97,4.92,4.63
14.25,4.93,4.56
14.08,4.65,4.1
13.92,4.67,4.12
13.72,4.32,3.91
14.1,4.06,3.92
14.3,3.88,3.65
12.61,3.76,3.55
13.11,3.96,3.42
13.01,3.95,3.27
12.15,3.97,3.24
12.23,3.95,3.36
13.04,3.96,3.42
12.53,3.91,3.39
12.51,3.94,3.39
13.01,4.05,3.42
13.77,3.9,3.2
14.15,3.89,3.39
14.96,3.98,3.49
14.45,3.89,3.36
13.95,3.93,3.45
13.49,3.86,3.38
13.09,4.12,3.27
12.51,4.05,3.35
12.71,3.79,3.38
12.96,3.91,3.36
12.76,3.97,3.26
12.66,3.87,3.26
13.54,4.04,3.47
13.32,3.9,3.31
13.92,4.01,3.32
13.34,3.9,3.27
14.96,4.24,3.43
14.13,3.92,3.3
14.83,3.91,3.29
13.97,3.52,3.25
14.35,3.51,3.04
13.24,3.22,2.98
13.39,3.14,2.88
13.19,3.08,2.61
13.19,3.15,2.61
13.19,3.18,2.58
12.58,3.07,2.53
13.11,3.3,2.44
12.99,3.33,2.38
13.19,3.3,2.24
14.15,3.17,2.13
14.91,2.96,2.11
15.19,3.02,1.96
14.63,3.05,1.79
14.53,3.01,1.94
14.05,3.02,1.86
14,2.98,1.8
13.59,2.93,1.77
13.72,3.06,1.89
13.42,3.04,1.94
13.24,3.05,1.86
12.89,2.92,1.89
13.39,2.96,1.79
13.21,2.93,1.9
13.62,2.96,1.87
13.75,3.05,1.78
